City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Yulara,AU,89.44,few clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
394,Oriximina,BR,75.16,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
395,Faanui,PF,82.44,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
402,Lingyuan,CN,61.5,clear sky,41.24,119.4011,Guomao Hotel
403,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
405,Fiumicino,IT,59.63,broken clouds,41.7675,12.2291,Al Porticciolo Hotel
406,Faya,SA,66.72,few clouds,18.3851,42.4509,املاك خالد الشعشوع
408,San Cristobal,VE,73.58,overcast clouds,7.7669,-72.225,Pirineos
409,Piacabucu,BR,81.32,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
410,Noumea,NC,84.18,clear sky,-22.2763,166.4572,Hôtel Le Lagon
412,Burnie,AU,59.32,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
413,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
415,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
416,Zhangjiakou,CN,51.75,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
417,Ganta,LR,70.97,overcast clouds,7.3022,-8.5308,
419,Xichang,CN,55.29,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
420,Cayenne,GF,81.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
421,Gushikawa,JP,72.99,few clouds,26.3544,127.8686,Kirari Guest House
422,Facaeni,RO,50.68,clear sky,44.5667,27.9,Făcăeni Ialomița stra livezilor Nr 5
423,Agadez,NE,77.0,clear sky,19.75,10.25,
424,Meadow Lake,US,73.67,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
425,Port Macquarie,AU,72.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
427,Lompoc,US,64.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
428,Ulladulla,AU,76.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
429,Eustis,US,74.91,few clouds,28.8528,-81.6853,Quality Inn & Suites Mt Dora North
432,Penzance,GB,52.48,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
433,Dothan,US,68.2,clear sky,31.2232,-85.3905,Courtyard by Marriott Dothan
434,Punakha,BT,69.71,clear sky,27.5837,89.8598,Kunzang Zhing Resort
435,Portland,US,55.27,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
436,Eunice,US,75.94,light rain,30.4944,-92.4176,"Holiday Inn Express Eunice, an IHG Hotel"
437,Bandarbeyla,SO,82.49,overcast clouds,9.4942,50.8122,JABIR HOTEL
440,Constitucion,CL,50.58,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
441,Huilong,CN,56.12,overcast clouds,31.8111,121.655,Hilton Garden Inn Qidong
442,Nizwa,OM,79.32,broken clouds,22.9333,57.5333,Orient Apartments
443,Safford,US,81.52,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
444,Doha,QA,85.98,clear sky,25.2867,51.5333,Movenpick Hotel Doha
445,Pangoa,PE,65.32,scattered clouds,-12.1167,-73.0,
446,Catamarca,AR,59.25,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
450,Mareeba,AU,80.47,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
451,Acari,PE,68.88,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
452,Tanout,NE,79.97,broken clouds,14.9709,8.8879,
453,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
454,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
456,Crotone,IT,61.2,overcast clouds,39.0851,17.1178,Helios Hotel
457,Lardos,GR,57.02,overcast clouds,36.0942,28.0157,Lindos Princess Beach Hotel
458,Hilton Head Island,US,67.98,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
